USA received,Name,Count
2019-12,China,2.92
,Taiwan,0.61
,Singapore,0.53
,Japan,0.35
,UnitedKingdom,0.35
2020-01,China,2.46
,Sweden,0.78
,Canada,0.77
,SouthKorea,0.75
,Australia,0.63
2020-02,France,2.46
,Sweden,0.86
,SaudiArabia,0.76
,Switzerland,0.59
,Germany,0.56
2020-03,Canada,0.81
,NewZealand,0.60
,Denmark,0.30
,Norway,0.29
,Bangladesh,0.24
2020-04,Sweden,0.05
2020-052020-06

USA spreaded,Name,Count
2019-12,China,0.94
,Taiwan,0.59
,Australia,0.40
,Japan,0.38
,Spain,0.30
2020-01,Canada,0.88
,HongKong,0.82
,Singapore,0.77
,Vietnam,0.66
,Taiwan,0.64
2020-02,Taiwan,1.82
,Canada,1.71
,Australia,1.58
,France,1.37
,Mexico,1.24
2020-03,Canada,1.62
,Australia,0.68
,NewZealand,0.62
,France,0.39
,Austria,0.35
2020-04,Sweden,0.05
2020-052020-06