dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.885,0.74,0.806,0.973,1,0.986
SEIR015_sl1000_mr0125_nv10_10,0.867,0.684,0.765,0.947,0.947,0.947
SEIR015_sl1000_mr0125_nv10_11,0.818,0.692,0.75,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.833,0.714,0.769,0.857,0.857,0.857
SEIR015_sl1000_mr0125_nv10_13,0.976,0.8,0.879,0.98,0.98,0.98
SEIR015_sl1000_mr0125_nv10_14,0.83,0.846,0.838,0.873,0.923,0.897
SEIR015_sl1000_mr0125_nv10_15,0.889,0.533,0.667,0.933,0.933,0.933
SEIR015_sl1000_mr0125_nv10_16,0.704,0.794,0.746,0.765,0.825,0.794
SEIR015_sl1000_mr0125_nv10_17,0.704,0.731,0.717,0.742,0.885,0.807
SEIR015_sl1000_mr0125_nv10_18,0.667,0.8,0.727,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_19,0.8,0.516,0.627,0.742,0.742,0.742
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.938,0.938,0.938
SEIR015_sl1000_mr0125_nv10_20,0.921,0.854,0.886,0.841,0.902,0.871
SEIR015_sl1000_mr0125_nv10_3,0.778,0.778,0.778,0.636,0.778,0.7
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.72,0.353,0.474,0.902,0.902,0.902
SEIR015_sl1000_mr0125_nv10_6,0.815,0.629,0.71,0.895,0.971,0.932
SEIR015_sl1000_mr0125_nv10_7,0.833,0.735,0.781,0.84,0.926,0.881
SEIR015_sl1000_mr0125_nv10_8,0.75,0.667,0.706,0.857,0.667,0.75
SEIR015_sl1000_mr0125_nv10_9,0.5,0.429,0.462,0.458,0.524,0.489
SEIR015_sl1000_mr025_nv10_1,0.818,0.9,0.857,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.8,0.364,0.5,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.878,0.768,0.819,0.915,0.964,0.939
SEIR015_sl1000_mr025_nv10_12,0.9,0.9,0.9,0.75,0.9,0.818
SEIR015_sl1000_mr025_nv10_13,0.286,0.4,0.333,0.308,0.4,0.348
SEIR015_sl1000_mr025_nv10_14,0.731,0.76,0.745,0.724,0.84,0.778
SEIR015_sl1000_mr025_nv10_15,0.574,0.466,0.514,0.594,0.707,0.646
SEIR015_sl1000_mr025_nv10_16,0.733,0.786,0.759,0.812,0.929,0.867
SEIR015_sl1000_mr025_nv10_17,0.812,0.684,0.743,0.846,0.868,0.857
SEIR015_sl1000_mr025_nv10_18,0.722,0.703,0.712,0.725,0.784,0.753
SEIR015_sl1000_mr025_nv10_19,0.882,0.789,0.833,0.895,0.895,0.895
SEIR015_sl1000_mr025_nv10_2,0.857,0.643,0.735,0.864,0.911,0.887
SEIR015_sl1000_mr025_nv10_20,0.714,0.625,0.667,0.6,0.75,0.667
SEIR015_sl1000_mr025_nv10_3,0.872,0.891,0.882,0.88,0.957,0.917
SEIR015_sl1000_mr025_nv10_4,0.897,0.795,0.843,0.867,0.886,0.876
SEIR015_sl1000_mr025_nv10_5,0.867,0.812,0.839,0.875,0.875,0.875
SEIR015_sl1000_mr025_nv10_6,0.923,0.783,0.847,0.913,0.913,0.913
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.941,0.8,0.865,1,1,1
SEIR015_sl1000_mr025_nv10_9,0.925,0.875,0.899,0.932,0.982,0.957
SEIR015_sl1000_mr025_nv20_1,0.562,0.6,0.581,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv20_10,0.583,0.778,0.667,0.333,0.444,0.381
SEIR015_sl1000_mr025_nv20_11,0.833,0.769,0.8,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.565,0.65,0.605,0.542,0.65,0.591
SEIR015_sl1000_mr025_nv20_13,0.667,0.889,0.762,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.889,0.727,0.8,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv20_15,0.6,0.75,0.667,0.647,0.917,0.759
SEIR015_sl1000_mr025_nv20_16,0.862,0.833,0.847,0.871,0.9,0.885
SEIR015_sl1000_mr025_nv20_17,0.887,0.839,0.862,0.897,0.929,0.912
SEIR015_sl1000_mr025_nv20_18,0.651,0.718,0.683,0.636,0.718,0.675
SEIR015_sl1000_mr025_nv20_19,0.429,0.545,0.48,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_2,0.957,0.88,0.917,0.815,0.88,0.846
SEIR015_sl1000_mr025_nv20_20,0.667,0.526,0.588,0.684,0.684,0.684
SEIR015_sl1000_mr025_nv20_3,0.698,0.667,0.682,0.688,0.803,0.741
SEIR015_sl1000_mr025_nv20_4,0.833,0.606,0.702,0.882,0.909,0.896
SEIR015_sl1000_mr025_nv20_5,0.943,0.846,0.892,0.949,0.949,0.949
SEIR015_sl1000_mr025_nv20_6,0.775,0.816,0.795,0.773,0.895,0.829
SEIR015_sl1000_mr025_nv20_7,0.969,0.861,0.912,0.944,0.944,0.944
SEIR015_sl1000_mr025_nv20_8,0.687,0.687,0.687,0.63,0.761,0.689
SEIR015_sl1000_mr025_nv20_9,0.769,0.556,0.645,0.737,0.778,0.757
SEIR015_sl1000_mr025_nv5_1,0.9,0.643,0.75,1,0.643,0.783
SEIR015_sl1000_mr025_nv5_10,0.724,0.583,0.646,0.625,0.694,0.658
SEIR015_sl1000_mr025_nv5_11,0.75,0.574,0.651,0.83,0.83,0.83
SEIR015_sl1000_mr025_nv5_12,0.429,0.273,0.333,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv5_13,0.917,0.71,0.8,1,0.839,0.912
SEIR015_sl1000_mr025_nv5_14,0.562,0.6,0.581,0.667,0.8,0.727
SEIR015_sl1000_mr025_nv5_15,0.789,0.692,0.738,0.812,0.862,0.836
SEIR015_sl1000_mr025_nv5_16,1,0.731,0.844,1,1,1
SEIR015_sl1000_mr025_nv5_17,0.85,0.829,0.84,0.86,0.902,0.881
SEIR015_sl1000_mr025_nv5_18,0.8,0.582,0.674,0.702,0.727,0.714
SEIR015_sl1000_mr025_nv5_19,0.294,0.455,0.357,0.333,0.455,0.385
SEIR015_sl1000_mr025_nv5_2,1,0.667,0.8,0.8,0.889,0.842
SEIR015_sl1000_mr025_nv5_20,0.759,0.537,0.629,0.721,0.756,0.738
SEIR015_sl1000_mr025_nv5_3,0.737,0.519,0.609,0.714,0.556,0.625
SEIR015_sl1000_mr025_nv5_4,0.872,0.68,0.764,0.86,0.86,0.86
SEIR015_sl1000_mr025_nv5_5,0.615,0.381,0.471,0.652,0.714,0.682
SEIR015_sl1000_mr025_nv5_6,0.525,0.339,0.412,0.51,0.403,0.45
SEIR015_sl1000_mr025_nv5_7,0.81,0.654,0.723,0.846,0.846,0.846
SEIR015_sl1000_mr025_nv5_8,0.789,0.652,0.714,0.826,0.826,0.826
SEIR015_sl1000_mr025_nv5_9,0.575,0.575,0.575,0.568,0.625,0.595
SEIR015_sl1000_mr05_nv10_1,0.667,0.471,0.552,0.647,0.647,0.647
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.375,0.375,0.375,0.333,0.375,0.353
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.945,0.852,0.897,0.951,0.951,0.951
SEIR015_sl1000_mr05_nv10_14,0.758,0.543,0.633,0.824,0.913,0.866
SEIR015_sl1000_mr05_nv10_15,0.636,0.636,0.636,0.75,0.818,0.783
SEIR015_sl1000_mr05_nv10_16,0.805,0.805,0.805,0.83,0.951,0.886
SEIR015_sl1000_mr05_nv10_17,0.746,0.725,0.735,0.808,0.913,0.857
SEIR015_sl1000_mr05_nv10_18,0.705,0.756,0.729,0.756,0.829,0.791
SEIR015_sl1000_mr05_nv10_19,0.688,0.688,0.688,0.75,0.844,0.794
SEIR015_sl1000_mr05_nv10_2,0.931,0.643,0.761,0.952,0.952,0.952
SEIR015_sl1000_mr05_nv10_20,0.44,0.268,0.333,0.535,0.561,0.548
SEIR015_sl1000_mr05_nv10_3,0.852,0.821,0.836,0.814,0.857,0.835
SEIR015_sl1000_mr05_nv10_4,0.545,0.562,0.554,0.595,0.688,0.638
SEIR015_sl1000_mr05_nv10_5,0.7,0.636,0.667,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,0.875,0.7,0.778,0.906,0.967,0.935
SEIR015_sl1000_mr05_nv10_7,0.529,0.692,0.6,0.526,0.769,0.625
SEIR015_sl1000_mr05_nv10_8,0.794,0.75,0.771,0.821,0.889,0.853
SEIR015_sl1000_mr05_nv10_9,0.688,0.733,0.71,0.688,0.733,0.71
SEIR015_sl250_mr025_nv10_1,0.652,0.882,0.75,0.6,0.882,0.714
SEIR015_sl250_mr025_nv10_10,0.549,0.661,0.6,0.531,0.729,0.614
SEIR015_sl250_mr025_nv10_11,0.618,0.618,0.618,0.571,0.706,0.632
SEIR015_sl250_mr025_nv10_12,0.55,0.767,0.641,0.531,0.791,0.636
SEIR015_sl250_mr025_nv10_13,0.8,0.75,0.774,0.706,0.75,0.727
SEIR015_sl250_mr025_nv10_14,0.368,0.56,0.444,0.39,0.64,0.485
SEIR015_sl250_mr025_nv10_15,0.591,0.531,0.559,0.492,0.592,0.537
SEIR015_sl250_mr025_nv10_16,0.136,0.222,0.169,0.17,0.333,0.225
SEIR015_sl250_mr025_nv10_17,0.5,0.333,0.4,0.615,0.667,0.64
SEIR015_sl250_mr025_nv10_18,0.263,0.455,0.333,0.333,0.545,0.414
SEIR015_sl250_mr025_nv10_19,0.606,0.541,0.571,0.651,0.757,0.7
SEIR015_sl250_mr025_nv10_2,0.304,0.318,0.311,0.25,0.318,0.28
SEIR015_sl250_mr025_nv10_20,0.523,0.697,0.597,0.548,0.697,0.613
SEIR015_sl250_mr025_nv10_3,0.524,0.733,0.611,0.611,0.733,0.667
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.537,0.629,0.579,0.524,0.629,0.571
SEIR015_sl250_mr025_nv10_7,0.3,0.375,0.333,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.783,0.667,0.72,0.733,0.815,0.772
SEIR015_sl250_mr025_nv10_9,0.647,0.733,0.688,0.737,0.933,0.824
SEIR015_sl500_mr025_nv10_1,0.667,0.6,0.632,0.727,0.8,0.762
SEIR015_sl500_mr025_nv10_10,0.878,0.837,0.857,0.889,0.93,0.909
SEIR015_sl500_mr025_nv10_11,0.167,0.125,0.143,0.182,0.25,0.211
SEIR015_sl500_mr025_nv10_12,0.721,0.585,0.646,0.695,0.774,0.732
SEIR015_sl500_mr025_nv10_13,0.552,0.571,0.561,0.514,0.643,0.571
SEIR015_sl500_mr025_nv10_14,1,0.889,0.941,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.809,0.655,0.724,0.867,0.897,0.881
SEIR015_sl500_mr025_nv10_16,0.6,0.75,0.667,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.765,0.929,0.839,0.684,0.929,0.788
SEIR015_sl500_mr025_nv10_18,0.765,0.5,0.605,0.852,0.885,0.868
SEIR015_sl500_mr025_nv10_19,0.889,0.8,0.842,1,1,1
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.73,0.719,0.724,0.779,0.828,0.803
SEIR015_sl500_mr025_nv10_3,0.733,0.595,0.657,0.805,0.892,0.846
SEIR015_sl500_mr025_nv10_4,0.659,0.707,0.682,0.66,0.756,0.705
SEIR015_sl500_mr025_nv10_5,0.812,0.929,0.867,0.867,0.929,0.897
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.653,0.516,0.577,0.535,0.613,0.571
SEIR015_sl500_mr025_nv10_8,0.716,0.716,0.716,0.7,0.836,0.762
SEIR015_sl500_mr025_nv10_9,0.6,0.818,0.692,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.765,0.722,0.743,0.684,0.722,0.703
SEIR01_sl1000_mr0125_nv10_10,0.918,0.833,0.874,0.926,0.926,0.926
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.25,0.2,0.222,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.935,0.967,0.951,0.935,0.967,0.951
SEIR01_sl1000_mr0125_nv10_15,0.864,0.792,0.826,0.875,0.875,0.875
SEIR01_sl1000_mr0125_nv10_16,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.881,0.822,0.851,0.87,0.889,0.879
SEIR01_sl1000_mr0125_nv10_19,0.926,0.833,0.877,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.857,0.96,0.906,0.852,0.92,0.885
SEIR01_sl1000_mr0125_nv10_3,0.889,0.842,0.865,0.895,0.895,0.895
SEIR01_sl1000_mr0125_nv10_4,0.895,0.708,0.791,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.929,0.812,0.867,0.917,0.917,0.917
SEIR01_sl1000_mr0125_nv10_7,0.973,0.923,0.947,0.949,0.949,0.949
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.913,0.894,0.903,0.917,0.936,0.926
SEIR01_sl1000_mr025_nv10_1,0.885,0.821,0.852,0.893,0.893,0.893
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.882,0.857,0.87,0.865,0.914,0.889
SEIR01_sl1000_mr025_nv10_12,0.667,0.75,0.706,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.812,0.65,0.722,0.857,0.9,0.878
SEIR01_sl1000_mr025_nv10_14,0.886,0.912,0.899,0.886,0.912,0.899
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.923,0.857,0.889,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv10_17,0.857,0.667,0.75,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_18,0.8,0.889,0.842,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.778,0.712,0.743,0.758,0.797,0.777
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.84,0.857,0.848,0.84,0.857,0.848
SEIR01_sl1000_mr025_nv10_4,0.894,0.808,0.848,0.906,0.923,0.914
SEIR01_sl1000_mr025_nv10_5,0.95,0.864,0.905,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_6,0.75,0.857,0.8,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.763,0.725,0.744,0.806,0.725,0.763
SEIR01_sl1000_mr025_nv10_8,0.88,0.815,0.846,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.897,0.745,0.814,0.894,0.894,0.894
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.857,0.667,0.75,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.842,0.889,0.865,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.873,0.828,0.85,0.879,0.879,0.879
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815,0.857,0.923,0.889
SEIR01_sl1000_mr025_nv20_15,0.917,0.957,0.936,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.545,0.857,0.667,0.6,0.857,0.706
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.926,0.943,0.935,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.889,0.774,0.828,0.875,0.903,0.889
SEIR01_sl1000_mr025_nv20_3,0.826,0.905,0.864,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.875,0.848,0.862,0.848,0.848,0.848
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.923,1,0.96,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.824,0.683,0.747,0.756,0.756,0.756
SEIR01_sl1000_mr025_nv5_10,0.92,0.697,0.793,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv5_11,0.765,0.684,0.722,0.75,0.789,0.769
SEIR01_sl1000_mr025_nv5_12,0.824,0.737,0.778,0.842,0.842,0.842
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.864,0.95,0.905,0.905,0.95,0.927
SEIR01_sl1000_mr025_nv5_15,0.731,0.704,0.717,0.724,0.778,0.75
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.821,0.681,0.744,0.796,0.83,0.812
SEIR01_sl1000_mr025_nv5_19,0.948,0.948,0.948,0.948,0.948,0.948
SEIR01_sl1000_mr025_nv5_2,0.75,0.562,0.643,0.647,0.688,0.667
SEIR01_sl1000_mr025_nv5_20,0.652,0.625,0.638,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_3,0.75,0.9,0.818,0.727,0.8,0.762
SEIR01_sl1000_mr025_nv5_4,0.881,0.74,0.804,0.76,0.76,0.76
SEIR01_sl1000_mr025_nv5_5,0.818,0.529,0.643,0.722,0.765,0.743
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.87,0.87,0.87,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.909,0.769,0.833,0.923,0.923,0.923
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.806,0.781,0.794,0.794,0.844,0.818
SEIR01_sl1000_mr05_nv10_12,0.891,0.845,0.867,0.881,0.897,0.889
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.839,0.667,0.743,0.85,0.872,0.861
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.952,0.909,0.93,0.87,0.909,0.889
SEIR01_sl1000_mr05_nv10_18,0.87,0.839,0.855,0.828,0.857,0.842
SEIR01_sl1000_mr05_nv10_19,0.625,0.714,0.667,0.286,0.286,0.286
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.918,0.865,0.891,0.87,0.904,0.887
SEIR01_sl1000_mr05_nv10_3,0.875,0.84,0.857,0.92,0.92,0.92
SEIR01_sl1000_mr05_nv10_4,0.727,0.727,0.727,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.865,0.8,0.831,0.9,0.9,0.9
SEIR01_sl1000_mr05_nv10_7,0.905,0.826,0.864,0.792,0.826,0.809
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.92,0.885,0.902,0.926,0.962,0.943
SEIR01_sl250_mr025_nv10_1,0.592,0.644,0.617,0.583,0.622,0.602
SEIR01_sl250_mr025_nv10_10,0.75,0.706,0.727,0.778,0.824,0.8
SEIR01_sl250_mr025_nv10_11,0.7,0.875,0.778,0.684,0.812,0.743
SEIR01_sl250_mr025_nv10_12,0.818,0.837,0.828,0.792,0.884,0.835
SEIR01_sl250_mr025_nv10_13,0.5,0.667,0.571,0.429,0.5,0.462
SEIR01_sl250_mr025_nv10_14,0.61,0.543,0.575,0.532,0.543,0.538
SEIR01_sl250_mr025_nv10_15,0.583,1,0.737,0.7,1,0.824
SEIR01_sl250_mr025_nv10_16,0.458,0.587,0.514,0.469,0.652,0.545
SEIR01_sl250_mr025_nv10_17,0.273,0.375,0.316,0.462,0.75,0.571
SEIR01_sl250_mr025_nv10_18,0.714,0.781,0.746,0.676,0.781,0.725
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.714,0.714,0.714,0.625,0.714,0.667
SEIR01_sl250_mr025_nv10_20,0.65,0.722,0.684,0.65,0.722,0.684
SEIR01_sl250_mr025_nv10_3,0.69,0.741,0.714,0.71,0.815,0.759
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.689,0.756,0.721,0.633,0.756,0.689
SEIR01_sl250_mr025_nv10_6,0.63,0.773,0.694,0.607,0.773,0.68
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.643,0.794,0.711,0.634,0.765,0.693
SEIR01_sl250_mr025_nv10_9,0.761,0.836,0.797,0.718,0.836,0.773
SEIR01_sl500_mr025_nv10_1,0.6,0.6,0.6,0.455,0.5,0.476
SEIR01_sl500_mr025_nv10_10,0.786,0.786,0.786,0.688,0.786,0.733
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.852,0.902,0.876,0.889,0.941,0.914
SEIR01_sl500_mr025_nv10_13,0.824,0.7,0.757,0.714,0.75,0.732
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.842,0.828,0.835,0.8,0.828,0.814
SEIR01_sl500_mr025_nv10_16,0.857,0.8,0.828,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.4,0.333,0.364,0.571,0.667,0.615
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.583,0.875,0.7,0.545,0.75,0.632
SEIR01_sl500_mr025_nv10_2,0.556,0.625,0.588,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.815,0.688,0.746,0.781,0.781,0.781
