dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,0.733,0.524,0.611,0.75,0.571,0.649,0.619,0.619,0.619
SEIR015_sl250_mr025_nv10_2,0.296,0.364,0.327,0.318,0.318,0.318,0.25,0.318,0.28
SEIR015_sl1000_mr025_nv10_3,0.841,0.804,0.822,0.894,0.913,0.903,0.88,0.957,0.917
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,0.905,0.95,0.927,0.905,0.95,0.927,0.905,0.95,0.927
SIR01_sl500_mr15_nv10_15,0.625,0.667,0.645,0.645,0.667,0.656,0.625,0.667,0.645
SEIR01_sl1000_mr0125_nv10_9,0.933,0.894,0.913,0.913,0.894,0.903,0.917,0.936,0.926
SEIR015_sl1000_mr025_nv20_12,0.545,0.6,0.571,0.542,0.65,0.591,0.542,0.65,0.591
SIR01_sl1000_mr15_nv20_5,0.75,0.6,0.667,0.75,0.6,0.667,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,0.778,1,0.875,1,1,1,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_3,0.579,0.733,0.647,0.55,0.733,0.629,0.611,0.733,0.667
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.708,0.75,0.729,0.82,0.735,0.775,0.84,0.926,0.881
SIR003_sl1000_mr1_nv10_20,0.839,0.681,0.752,0.804,0.652,0.72,0.731,0.71,0.721
SIR01_sl1000_mr15_nv5_5,0.667,0.545,0.6,0.667,0.545,0.6,0.636,0.636,0.636
SIR003_sl250_mr05_nv10_16,0.538,0.636,0.583,0.538,0.636,0.583,0.5,0.545,0.522
SIR003_sl1000_mr05_nv5_17,0.75,0.562,0.643,0.75,0.562,0.643,0.646,0.646,0.646
SIR01_sl500_mr15_nv10_7,0.875,1,0.933,0.875,1,0.933,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,0.833,0.909,0.87,0.833,0.909,0.87,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.88,0.786,0.83,0.88,0.786,0.83,0.88,0.786,0.83
SIR01_sl500_mr15_nv10_20,0.909,0.8,0.851,0.909,0.8,0.851,0.84,0.84,0.84
SEIR015_sl1000_mr0125_nv10_15,0.889,0.533,0.667,0.893,0.556,0.685,0.933,0.933,0.933
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.643,0.562,0.6,0.625,0.625,0.625
SEIR015_sl250_mr025_nv10_9,0.526,0.667,0.588,0.688,0.733,0.71,0.737,0.933,0.824
SEIR015_sl250_mr025_nv10_10,0.416,0.712,0.525,0.588,0.678,0.63,0.531,0.729,0.614
SEIR01_sl1000_mr025_nv10_11,0.882,0.857,0.87,0.882,0.857,0.87,0.865,0.914,0.889
SIR01_sl1000_mr075_nv10_17,0.821,0.648,0.724,0.831,0.69,0.754,0.75,0.761,0.755
SEIR01_sl1000_mr025_nv10_13,0.812,0.65,0.722,0.812,0.65,0.722,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,0.889,0.533,0.667,0.889,0.533,0.667,0.6,0.6,0.6
SEIR01_sl500_mr025_nv10_10,0.733,0.786,0.759,0.786,0.786,0.786,0.688,0.786,0.733
SIR003_sl1000_mr05_nv5_18,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812
SIR01_sl500_mr15_nv10_14,0.724,0.538,0.618,0.759,0.564,0.647,0.629,0.564,0.595
SIR003_sl500_mr05_nv10_6,0.833,0.714,0.769,0.789,0.714,0.75,0.714,0.714,0.714
SIR01_sl1000_mr075_nv10_7,0.909,0.833,0.87,0.909,0.833,0.87,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.917,0.846,0.88,0.918,0.865,0.891,0.87,0.904,0.887
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8,0.769,0.833,0.8,0.769,0.833,0.8
SEIR01_sl500_mr025_nv10_3,0.864,0.905,0.884,0.864,0.905,0.884,0.792,0.905,0.844
SIR003_sl1000_mr05_nv5_19,0.714,0.588,0.645,0.655,0.559,0.603,0.543,0.559,0.551
SEIR015_sl1000_mr025_nv20_4,0.833,0.606,0.702,0.833,0.606,0.702,0.882,0.909,0.896
SIR003_sl1000_mr025_nv10_5,0.75,0.857,0.8,0.714,0.714,0.714,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_5,0.7,0.875,0.778,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_18,0.684,0.52,0.591,0.7,0.56,0.622,0.56,0.56,0.56
SIR01_sl1000_mr3_nv10_5,0.826,0.679,0.745,0.826,0.679,0.745,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_19,0.68,0.548,0.607,0.762,0.516,0.615,0.742,0.742,0.742
SIR003_sl500_mr05_nv10_10,0.71,0.564,0.629,0.741,0.513,0.606,0.647,0.564,0.603
SEIR015_sl1000_mr025_nv20_11,0.769,0.769,0.769,0.833,0.769,0.8,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.5,0.571,0.533,0.537,0.629,0.579,0.524,0.629,0.571
SIR003_sl1000_mr05_nv20_3,0.889,0.615,0.727,0.8,0.615,0.696,0.692,0.692,0.692
SEIR015_sl1000_mr025_nv20_1,0.75,0.6,0.667,0.588,0.667,0.625,0.6,0.6,0.6
SEIR015_sl1000_mr0125_nv10_3,0.778,0.778,0.778,0.7,0.778,0.737,0.636,0.778,0.7
SIR01_sl1000_mr15_nv5_12,0.647,0.478,0.55,0.611,0.478,0.537,0.565,0.565,0.565
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778,0.875,0.7,0.778,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_17,0.857,0.667,0.75,0.833,0.667,0.741,0.778,0.778,0.778
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778,0.7,0.778,0.737,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.733,0.846,0.786,0.739,0.654,0.694,0.655,0.731,0.691
SEIR015_sl1000_mr025_nv5_14,0.688,0.733,0.71,0.6,0.6,0.6,0.667,0.8,0.727
SIR01_sl1000_mr3_nv10_13,0.852,0.639,0.73,0.88,0.611,0.721,0.75,0.667,0.706
SEIR015_sl1000_mr05_nv10_15,0.556,0.455,0.5,0.636,0.636,0.636,0.75,0.818,0.783
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679,0.643,0.72,0.679,0.643,0.72,0.679
SEIR015_sl1000_mr025_nv20_6,0.66,0.868,0.75,0.78,0.842,0.81,0.773,0.895,0.829
SEIR015_sl1000_mr05_nv10_14,0.424,0.609,0.5,0.758,0.543,0.633,0.824,0.913,0.866
SEIR01_sl250_mr025_nv10_5,0.667,0.732,0.698,0.689,0.756,0.721,0.633,0.756,0.689
SIR003_sl1000_mr05_nv20_4,0.839,0.812,0.825,0.839,0.812,0.825,0.844,0.844,0.844
SEIR01_sl500_mr025_nv10_5,0.833,1,0.909,1,0.8,0.889,0.667,0.8,0.727
SIR003_sl1000_mr05_nv5_9,0.667,0.583,0.622,0.652,0.625,0.638,0.52,0.542,0.531
SEIR015_sl250_mr025_nv10_16,0.2,0.407,0.268,0.133,0.222,0.167,0.17,0.333,0.225
SEIR015_sl250_mr025_nv10_18,0.235,0.364,0.286,0.263,0.455,0.333,0.333,0.545,0.414
SEIR015_sl1000_mr025_nv5_5,0.611,0.524,0.564,0.583,0.333,0.424,0.652,0.714,0.682
SEIR015_sl1000_mr025_nv20_7,0.969,0.861,0.912,0.969,0.861,0.912,0.944,0.944,0.944
SIR003_sl1000_mr05_nv5_12,0.857,1,0.923,1,1,1,0.857,1,0.923
SEIR01_sl250_mr025_nv10_17,0.273,0.375,0.316,0.417,0.625,0.5,0.462,0.75,0.571
SIR01_sl1000_mr15_nv5_8,0.6,0.375,0.462,0.6,0.375,0.462,0.375,0.375,0.375
SIR01_sl500_mr15_nv10_5,0.844,0.731,0.784,0.75,0.692,0.72,0.673,0.712,0.692
SEIR01_sl1000_mr025_nv5_20,0.68,0.708,0.694,0.652,0.625,0.638,0.625,0.625,0.625
SEIR01_sl1000_mr0125_nv10_12,0.25,0.2,0.222,0.333,0.2,0.25,0.2,0.2,0.2
SEIR015_sl500_mr025_nv10_7,0.567,0.548,0.557,0.66,0.532,0.589,0.535,0.613,0.571
SEIR015_sl1000_mr025_nv5_18,0.821,0.582,0.681,0.821,0.582,0.681,0.702,0.727,0.714
SIR01_sl1000_mr3_nv10_15,0.75,0.333,0.462,0.8,0.444,0.571,0.556,0.556,0.556
SIR003_sl250_mr05_nv10_10,0.455,0.526,0.488,0.526,0.526,0.526,0.476,0.526,0.5
SEIR015_sl1000_mr025_nv5_2,1,0.778,0.875,0.857,0.667,0.75,0.8,0.889,0.842
SIR003_sl250_mr05_nv10_8,0.474,0.529,0.5,0.45,0.529,0.486,0.421,0.471,0.444
SEIR015_sl250_mr025_nv10_12,0.507,0.814,0.625,0.536,0.698,0.606,0.531,0.791,0.636
SIR01_sl500_mr15_nv10_2,0.722,0.619,0.667,0.684,0.619,0.65,0.682,0.714,0.698
SIR003_sl1000_mr05_nv5_20,0.615,0.615,0.615,0.75,0.692,0.72,0.643,0.692,0.667
SIR003_sl500_mr05_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667,0.625,0.667,0.645
SIR01_sl1000_mr15_nv20_7,0.923,0.857,0.889,0.923,0.857,0.889,0.857,0.857,0.857
SIR01_sl500_mr15_nv10_8,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl250_mr025_nv10_20,0.737,0.778,0.757,0.619,0.722,0.667,0.65,0.722,0.684
SEIR01_sl1000_mr025_nv20_13,0.877,0.862,0.87,0.875,0.845,0.86,0.879,0.879,0.879
SIR003_sl1000_mr05_nv10_13,0.875,0.75,0.808,0.894,0.75,0.816,0.768,0.768,0.768
SEIR015_sl500_mr025_nv10_3,0.711,0.73,0.72,0.719,0.622,0.667,0.805,0.892,0.846
SIR01_sl1000_mr3_nv10_4,0.9,0.75,0.818,0.9,0.75,0.818,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_14,0.839,0.667,0.743,0.867,0.667,0.754,0.85,0.872,0.861
SIR01_sl250_mr15_nv10_6,0.422,0.442,0.432,0.5,0.465,0.482,0.354,0.395,0.374
SIR01_sl250_mr15_nv10_14,0.533,0.533,0.533,0.5,0.533,0.516,0.588,0.667,0.625
SIR003_sl1000_mr05_nv10_7,0.857,0.783,0.818,0.857,0.783,0.818,0.826,0.826,0.826
SIR01_sl250_mr15_nv10_20,0.375,0.429,0.4,0.429,0.429,0.429,0.375,0.429,0.4
SIR01_sl1000_mr3_nv10_3,0.765,0.65,0.703,0.875,0.7,0.778,0.7,0.7,0.7
SEIR015_sl250_mr025_nv10_14,0.38,0.76,0.507,0.378,0.56,0.452,0.39,0.64,0.485
SIR003_sl1000_mr05_nv5_6,0.8,0.364,0.5,0.8,0.364,0.5,0.455,0.455,0.455
SIR01_sl500_mr15_nv10_4,0.868,0.673,0.759,0.868,0.673,0.759,0.814,0.714,0.761
SIR01_sl1000_mr15_nv10_11,0.875,0.583,0.7,0.778,0.583,0.667,0.667,0.667,0.667
SEIR015_sl1000_mr0125_nv10_14,0.691,0.904,0.783,0.83,0.846,0.838,0.873,0.923,0.897
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl1000_mr05_nv10_11,0.647,0.629,0.638,0.667,0.629,0.647,0.629,0.629,0.629
SEIR01_sl250_mr025_nv10_16,0.475,0.609,0.533,0.475,0.63,0.542,0.469,0.652,0.545
SEIR01_sl250_mr025_nv10_2,0.643,0.643,0.643,0.714,0.714,0.714,0.625,0.714,0.667
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv10_9,0.897,0.745,0.814,0.897,0.745,0.814,0.894,0.894,0.894
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718,0.667,0.778,0.718,0.667,0.778,0.718
SIR01_sl500_mr15_nv10_12,0.333,0.5,0.4,0.6,0.5,0.545,0.5,0.667,0.571
SIR01_sl1000_mr3_nv10_19,0.824,0.467,0.596,1,0.467,0.636,0.433,0.433,0.433
SIR01_sl1000_mr15_nv5_14,0.789,0.682,0.732,0.778,0.636,0.7,0.625,0.682,0.652
SEIR015_sl1000_mr025_nv5_8,0.812,0.565,0.667,0.824,0.609,0.7,0.826,0.826,0.826
SIR01_sl1000_mr075_nv10_9,0.895,0.63,0.739,0.895,0.63,0.739,0.773,0.63,0.694
SIR003_sl1000_mr05_nv10_5,0.594,0.413,0.487,0.645,0.435,0.519,0.524,0.478,0.5
SIR01_sl1000_mr075_nv10_11,1,1,1,1,1,1,1,1,1
SIR003_sl500_mr05_nv10_14,0.69,0.606,0.645,0.714,0.606,0.656,0.724,0.636,0.677
SEIR01_sl1000_mr0125_nv10_14,0.967,0.967,0.967,0.935,0.967,0.951,0.935,0.967,0.951
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl250_mr15_nv10_3,0.647,0.786,0.71,0.667,0.571,0.615,0.5,0.643,0.563
SIR01_sl250_mr15_nv10_16,0.64,0.696,0.667,0.64,0.696,0.667,0.6,0.652,0.625
SIR01_sl1000_mr15_nv10_5,1,0.8,0.889,1,0.8,0.889,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv5_11,0.49,0.532,0.51,0.757,0.596,0.667,0.83,0.83,0.83
SEIR015_sl1000_mr025_nv5_13,0.65,0.839,0.732,0.917,0.71,0.8,1,0.839,0.912
SIR01_sl1000_mr15_nv10_10,0.815,0.688,0.746,0.724,0.656,0.689,0.7,0.656,0.677
SIR01_sl250_mr15_nv10_2,0.462,0.667,0.545,0.5,0.667,0.571,0.545,0.667,0.6
SEIR015_sl1000_mr025_nv20_15,0.5,0.667,0.571,0.621,0.75,0.679,0.647,0.917,0.759
SEIR015_sl1000_mr025_nv10_2,0.72,0.643,0.679,0.854,0.625,0.722,0.864,0.911,0.887
SIR01_sl1000_mr15_nv10_12,0.706,0.5,0.585,0.733,0.458,0.564,0.706,0.5,0.585
SEIR015_sl1000_mr05_nv10_11,0.429,0.375,0.4,0.375,0.375,0.375,0.333,0.375,0.353
SIR01_sl1000_mr15_nv5_20,0.917,0.647,0.759,0.917,0.647,0.759,0.706,0.706,0.706
SEIR015_sl1000_mr05_nv10_12,0.615,1,0.762,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_6,0.87,0.667,0.755,0.84,0.7,0.764,0.906,0.967,0.935
SEIR015_sl1000_mr0125_nv10_16,0.689,0.81,0.745,0.699,0.81,0.75,0.765,0.825,0.794
SIR01_sl1000_mr3_nv10_16,0.926,0.781,0.847,0.926,0.781,0.847,0.926,0.781,0.847
SEIR01_sl1000_mr025_nv5_18,0.773,0.723,0.747,0.8,0.681,0.736,0.796,0.83,0.812
SIR003_sl250_mr05_nv10_11,0.25,0.25,0.25,0.5,0.417,0.455,0.625,0.417,0.5
SIR01_sl1000_mr3_nv10_9,1,0.552,0.711,1,0.552,0.711,0.895,0.586,0.708
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl500_mr025_nv10_19,0.545,0.75,0.632,0.6,0.75,0.667,0.545,0.75,0.632
SIR003_sl1000_mr05_nv20_1,0.765,0.743,0.754,0.806,0.714,0.758,0.694,0.714,0.704
SEIR01_sl1000_mr025_nv5_8,0.913,0.913,0.913,0.875,0.913,0.894,0.913,0.913,0.913
SEIR01_sl500_mr025_nv10_6,0.868,0.868,0.868,0.917,0.83,0.871,0.86,0.925,0.891
SIR003_sl1000_mr025_nv10_19,0.773,0.708,0.739,0.739,0.708,0.723,0.68,0.708,0.694
SEIR015_sl1000_mr05_nv10_1,0.727,0.471,0.571,0.667,0.471,0.552,0.647,0.647,0.647
SIR003_sl1000_mr05_nv5_11,0.714,0.645,0.678,0.74,0.597,0.661,0.603,0.613,0.608
SIR01_sl500_mr15_nv10_11,0.917,0.647,0.759,0.786,0.647,0.71,0.722,0.765,0.743
SIR003_sl1000_mr05_nv5_14,0.773,0.586,0.667,0.773,0.586,0.667,0.621,0.621,0.621
SIR003_sl1000_mr025_nv10_2,0.889,0.842,0.865,0.875,0.737,0.8,0.75,0.789,0.769
SIR003_sl500_mr05_nv10_1,0.75,0.857,0.8,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl250_mr025_nv10_9,0.725,0.82,0.769,0.761,0.836,0.797,0.718,0.836,0.773
SIR003_sl1000_mr05_nv10_14,1,1,1,1,1,1,1,1,1
SIR003_sl250_mr05_nv10_19,0.458,0.44,0.449,0.381,0.32,0.348,0.321,0.36,0.34
SEIR015_sl1000_mr05_nv10_5,0.778,0.636,0.7,0.7,0.636,0.667,0.818,0.818,0.818
SEIR015_sl1000_mr025_nv20_2,0.957,0.88,0.917,0.917,0.88,0.898,0.815,0.88,0.846
SEIR01_sl1000_mr0125_nv10_4,0.895,0.708,0.791,0.895,0.708,0.791,0.833,0.833,0.833
SEIR015_sl1000_mr025_nv20_19,0.385,0.455,0.417,0.429,0.545,0.48,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_16,0.862,0.833,0.847,0.862,0.833,0.847,0.871,0.9,0.885
SIR01_sl500_mr15_nv10_19,0.8,0.593,0.681,0.8,0.593,0.681,0.655,0.704,0.679
SEIR015_sl500_mr025_nv10_1,0.667,0.6,0.632,0.667,0.6,0.632,0.727,0.8,0.762
SIR003_sl1000_mr025_nv10_12,0.826,0.776,0.8,0.826,0.776,0.8,0.765,0.796,0.78
SIR003_sl1000_mr05_nv5_8,0.923,0.48,0.632,0.923,0.48,0.632,0.52,0.52,0.52
SIR01_sl250_mr15_nv10_19,0.75,0.857,0.8,0.75,0.857,0.8,0.75,0.857,0.8
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_18,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846
SIR01_sl1000_mr15_nv5_11,0.714,0.556,0.625,0.714,0.556,0.625,0.667,0.667,0.667
SIR01_sl1000_mr15_nv5_13,0.812,0.812,0.812,0.765,0.812,0.788,0.812,0.812,0.812
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
SIR01_sl1000_mr15_nv10_14,1,1,1,1,1,1,1,1,1
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SEIR015_sl1000_mr0125_nv10_18,0.727,0.8,0.762,0.636,0.7,0.667,0.8,0.8,0.8
SEIR01_sl500_mr025_nv10_2,0.556,0.625,0.588,0.625,0.625,0.625,0.5,0.5,0.5
SIR003_sl1000_mr1_nv10_6,0.909,0.667,0.769,0.909,0.667,0.769,0.7,0.7,0.7
SIR003_sl1000_mr05_nv5_5,1,0.636,0.778,1,0.636,0.778,1,0.636,0.778
SIR01_sl1000_mr15_nv20_19,0.933,0.824,0.875,0.933,0.824,0.875,0.882,0.882,0.882
SEIR01_sl1000_mr05_nv10_17,0.952,0.909,0.93,0.952,0.909,0.93,0.87,0.909,0.889
SIR003_sl1000_mr05_nv5_16,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.762,0.889,0.821,0.789,0.833,0.811,0.789,0.833,0.811
SEIR015_sl1000_mr025_nv10_17,0.812,0.684,0.743,0.812,0.684,0.743,0.846,0.868,0.857
SIR01_sl1000_mr15_nv10_16,0.75,0.857,0.8,0.625,0.714,0.667,0.714,0.714,0.714
SIR003_sl1000_mr05_nv20_18,0.844,0.711,0.771,0.818,0.711,0.761,0.789,0.789,0.789
SEIR015_sl1000_mr05_nv10_2,0.931,0.643,0.761,0.9,0.643,0.75,0.952,0.952,0.952
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
